מספר_העלאה,סוג,שעה_דימוי,תת,קרוסלה,מס_שקפים,קבצים,סטטוס
298,טריפטיך שעה,19:00,3,לא,1,298.jpg,
299,טריפטיך שעה,19:00,2,לא,1,299.jpg,
300,טריפטיך שעה,19:00,1,לא,1,300.jpg,
301,קרוסלת פתיח,דף קיר,,כן,5,301.jpg 301a.jpg 301b.jpg 301c.jpg 301d.jpg,
302,קרוסלת פתיח,תהליך,,כן,3,302.jpg 302a.jpg 302b.jpg,
303,קרוסלת פתיח,רקע,,כן,6,303.jpg 303a.jpg 303b.jpg 303c.jpg 303d.jpg 303e.jpg,
304,פיצול-9 פותח,tw00,9,לא,1,304.jpg,
305,פיצול-9 פותח,tw00,8,לא,1,305.jpg,
306,פיצול-9 פותח,tw00,7,לא,1,306.jpg,
307,פיצול-9 פותח,tw00,6,לא,1,307.jpg,
308,פיצול-9 פותח,tw00,5,לא,1,308.jpg,
309,פיצול-9 פותח,tw00,4,לא,1,309.jpg,
310,פיצול-9 פותח,tw00,3,לא,1,310.jpg,
311,פיצול-9 פותח,tw00,2,לא,1,311.jpg,
312,פיצול-9 פותח,tw00,1,לא,1,312.jpg,
313,טריפטיך מאסטר,12,3,לא,1,313.jpg,
314,טריפטיך מאסטר,12,2,לא,1,314.jpg,
315,טריפטיך מאסטר,12,1,לא,1,315.jpg,
